directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['詹姆斯·卡梅隆'],8.7,400,45,阿凡达,https://movie.douban.com/subject/1652587/,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,1652587,592
['林超贤'],8.3,1429,40,红海行动,https://movie.douban.com/subject/26861685/,"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,26861685,2000
['吴京'],7.1,1024,35,战狼2,https://movie.douban.com/subject/26363254/,"['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg,26363254,1548
['罗伯托·贝尼尼'],9.5,2015,50,美丽人生,https://movie.douban.com/subject/1292063/,"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,1292063,3000
['史蒂文·斯皮尔伯格'],9.5,580,50,辛德勒的名单,https://movie.douban.com/subject/1295124/,"['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,1295124,856
['冯小刚'],7.6,2000,40,芳华,https://movie.douban.com/subject/26862829/,"['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507227732.jpg,26862829,2802
['朱塞佩·托纳多雷'],8.8,600,45,西西里的美丽传说,https://movie.douban.com/subject/1292402/,"['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '玛蒂尔德·皮亚纳', '埃丽萨·莫鲁奇', '奥罗拉·夸特罗基']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,1292402,800
['李芳芳'],7.6,1750,40,无问西东,https://movie.douban.com/subject/6874741/,"['章子怡', '黄晓明', '张震', '王力宏', '陈楚生']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507572275.jpg,6874741,2500
['梅尔·吉布森'],8.7,1417,45,血战钢锯岭,https://movie.douban.com/subject/26325320/,"['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩', '雨果·维文', '卢克·布雷西']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,26325320,2076
['克里斯托弗·诺兰'],8.4,3500,40,敦刻尔克,https://movie.douban.com/subject/26607693/,"['菲恩·怀特海德', '汤姆·格林-卡尼', '杰克·劳登', '哈里·斯泰尔斯', '阿奈林·巴纳德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494950714.jpg,26607693,5155
['张艺谋'],8.1,2142,40,金陵十三钗,https://movie.douban.com/subject/3649049/,"['克里斯蒂安·贝尔', '倪妮', '张歆怡', '黄天元', '韩熙庭']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1322247572.jpg,3649049,3000
['梅尔·吉布森'],8.9,1011,45,勇敢的心,https://movie.douban.com/subject/1294639/,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,1294639,1500
['史蒂文·斯皮尔伯格'],9.0,2468,45,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,1292849,3498
"['维克多·弗莱明', '乔治·库克', '山姆·伍德']",9.3,400,45,乱世佳人,https://movie.douban.com/subject/1300267/,"['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,1300267,571
